"Run","Run ID","metric","step","timestamp","value"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","0","1749939692243","0.5060866475105286"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","0","1749939692243","0.5060866475105286"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","1","1749939839108","0.6334456205368042"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","2","1749939954078","0.6310204863548279"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","3","1749940065240","0.6585888862609863"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","4","1749940178046","0.683266818523407"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","5","1749940308767","0.6874278783798218"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","6","1749940433620","0.7015232443809509"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","7","1749940564045","0.6585532426834106"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","8","1749940696567","0.6851489543914795"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","9","1749940827449","0.7154004573822021"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","10","1749940957378","0.6869224309921265"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","11","1749941091433","0.7158254384994507"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","12","1749941224665","0.6952877640724182"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","13","1749941358298","0.6945357322692871"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","14","1749941479627","0.7108767032623291"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","15","1749941606134","0.7258323431015015"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","16","1749941736285","0.748012363910675"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","17","1749941865937","0.7488285899162292"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","18","1749941999531","0.758525013923645"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","19","1749942132990","0.7620366215705872"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","20","1749942265400","0.7662303447723389"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","21","1749942398214","0.7706018686294556"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","22","1749942537266","0.7823100090026855"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","23","1749942673552","0.7848753929138184"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","24","1749942812790","0.7902134656906128"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","25","1749942953427","0.7918450832366943"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","26","1749943097100","0.7945619821548462"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","27","1749943241859","0.8037956953048706"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","28","1749943388590","0.8055180907249451"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","29","1749943537443","0.809916615486145"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","30","1749943688370","0.8111196756362915"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","31","1749943840725","0.8150560855865479"
"garimpos_teste1","ecfa9e3e0e5e426e80e4b49b3e8b3752","iou","32","1749943993428","0.8184810280799866"
